"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4866","Failed login with invalid credentials (example #1)","","2026-06-17","failed","2026-06-17","","User Authentication","",""
"","4869","Failed login with invalid credentials (example #2)","","2026-06-17","failed","2026-06-17","","User Authentication","",""
"","5004","Failed login with malformed email","","2026-06-17","failed","2026-06-17","","User Authentication","",""
"","9270","Successful login with valid credentials","","2026-06-17","failed","2026-06-17","","User Authentication","",""
"","4992","Failed login with invalid credentials (example #3)","","2026-06-17","failed","2026-06-17","","User Authentication","",""
