"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3197","Failed login with invalid credentials (example #3)","","Tue Feb 24 05:14:45 UTC 2026","passed","Tue Feb 24 05:14:48 UTC 2026","","User Authentication","",""
"","2747","Failed login with malformed email","","Tue Feb 24 05:14:36 UTC 2026","passed","Tue Feb 24 05:14:39 UTC 2026","","User Authentication","",""
"","3226","Failed login with invalid credentials (example #2)","","Tue Feb 24 05:14:42 UTC 2026","passed","Tue Feb 24 05:14:45 UTC 2026","","User Authentication","",""
"","9127","Successful login with valid credentials","","Tue Feb 24 05:14:27 UTC 2026","passed","Tue Feb 24 05:14:36 UTC 2026","","User Authentication","",""
"","2927","Failed login with invalid credentials (example #1)","","Tue Feb 24 05:14:39 UTC 2026","passed","Tue Feb 24 05:14:42 UTC 2026","","User Authentication","",""
