"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5025","Failed login with invalid credentials (example #3)","","2026-06-09","failed","2026-06-09","","User Authentication","",""
"","4942","Failed login with malformed email","","2026-06-09","failed","2026-06-09","","User Authentication","",""
"","8742","Successful login with valid credentials","","2026-06-09","failed","2026-06-09","","User Authentication","",""
"","4902","Failed login with invalid credentials (example #2)","","2026-06-09","failed","2026-06-09","","User Authentication","",""
"","4911","Failed login with invalid credentials (example #1)","","2026-06-09","failed","2026-06-09","","User Authentication","",""
