"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3125","Failed login with invalid credentials (example #3)","","Sun Mar 08 05:01:19 UTC 2026","passed","Sun Mar 08 05:01:22 UTC 2026","","User Authentication","",""
"","3554","Failed login with invalid credentials (example #2)","","Sun Mar 08 05:01:15 UTC 2026","passed","Sun Mar 08 05:01:19 UTC 2026","","User Authentication","",""
"","3192","Failed login with invalid credentials (example #1)","","Sun Mar 08 05:01:12 UTC 2026","passed","Sun Mar 08 05:01:15 UTC 2026","","User Authentication","",""
"","9409","Successful login with valid credentials","","Sun Mar 08 05:01:00 UTC 2026","passed","Sun Mar 08 05:01:09 UTC 2026","","User Authentication","",""
"","2135","Failed login with malformed email","","Sun Mar 08 05:01:09 UTC 2026","passed","Sun Mar 08 05:01:12 UTC 2026","","User Authentication","",""
