"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4887","Failed login with invalid credentials (example #2)","","2026-06-27","failed","2026-06-27","","User Authentication","",""
"","5061","Failed login with malformed email","","2026-06-27","failed","2026-06-27","","User Authentication","",""
"","4940","Failed login with invalid credentials (example #3)","","2026-06-27","failed","2026-06-27","","User Authentication","",""
"","8570","Successful login with valid credentials","","2026-06-27","failed","2026-06-27","","User Authentication","",""
"","4840","Failed login with invalid credentials (example #1)","","2026-06-27","failed","2026-06-27","","User Authentication","",""
