"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3181","Failed login with invalid credentials (example #2)","","Wed Mar 04 04:58:09 UTC 2026","passed","Wed Mar 04 04:58:12 UTC 2026","","User Authentication","",""
"","2827","Failed login with invalid credentials (example #3)","","Wed Mar 04 04:58:12 UTC 2026","passed","Wed Mar 04 04:58:15 UTC 2026","","User Authentication","",""
"","8049","Successful login with valid credentials","","Wed Mar 04 04:57:55 UTC 2026","passed","Wed Mar 04 04:58:03 UTC 2026","","User Authentication","",""
"","3193","Failed login with invalid credentials (example #1)","","Wed Mar 04 04:58:05 UTC 2026","passed","Wed Mar 04 04:58:09 UTC 2026","","User Authentication","",""
"","1810","Failed login with malformed email","","Wed Mar 04 04:58:04 UTC 2026","passed","Wed Mar 04 04:58:05 UTC 2026","","User Authentication","",""
