"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5242","Failed login with invalid credentials (example #2)","","2026-06-23","failed","2026-06-23","","User Authentication","",""
"","5003","Failed login with malformed email","","2026-06-23","failed","2026-06-23","","User Authentication","",""
"","9099","Successful login with valid credentials","","2026-06-23","failed","2026-06-23","","User Authentication","",""
"","4877","Failed login with invalid credentials (example #3)","","2026-06-23","failed","2026-06-23","","User Authentication","",""
"","4912","Failed login with invalid credentials (example #1)","","2026-06-23","failed","2026-06-23","","User Authentication","",""
