"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2718","Failed login with invalid credentials (example #1)","","Mon Mar 16 01:16:55 UTC 2026","passed","Mon Mar 16 01:16:58 UTC 2026","","User Authentication","",""
"","2831","Failed login with invalid credentials (example #2)","","Mon Mar 16 01:16:58 UTC 2026","passed","Mon Mar 16 01:17:01 UTC 2026","","User Authentication","",""
"","2945","Failed login with invalid credentials (example #3)","","Mon Mar 16 01:17:01 UTC 2026","passed","Mon Mar 16 01:17:04 UTC 2026","","User Authentication","",""
"","2011","Failed login with malformed email","","Mon Mar 16 01:16:53 UTC 2026","passed","Mon Mar 16 01:16:55 UTC 2026","","User Authentication","",""
"","8987","Successful login with valid credentials","","Mon Mar 16 01:16:44 UTC 2026","passed","Mon Mar 16 01:16:53 UTC 2026","","User Authentication","",""
