"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2680","Failed login with invalid credentials (example #2)","","Sat Apr 18 01:17:19 UTC 2026","passed","Sat Apr 18 01:17:22 UTC 2026","","User Authentication","",""
"","2679","Failed login with invalid credentials (example #3)","","Sat Apr 18 01:17:22 UTC 2026","passed","Sat Apr 18 01:17:24 UTC 2026","","User Authentication","",""
"","2130","Failed login with malformed email","","Sat Apr 18 01:17:14 UTC 2026","passed","Sat Apr 18 01:17:16 UTC 2026","","User Authentication","",""
"","9762","Successful login with valid credentials","","Sat Apr 18 01:17:04 UTC 2026","failed","Sat Apr 18 01:17:14 UTC 2026","","User Authentication","",""
"","2649","Failed login with invalid credentials (example #1)","","Sat Apr 18 01:17:16 UTC 2026","passed","Sat Apr 18 01:17:19 UTC 2026","","User Authentication","",""
