"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8152","Successful login with valid credentials","","Wed Mar 11 01:03:36 UTC 2026","passed","Wed Mar 11 01:03:44 UTC 2026","","User Authentication","",""
"","3319","Failed login with invalid credentials (example #2)","","Wed Mar 11 01:03:49 UTC 2026","passed","Wed Mar 11 01:03:53 UTC 2026","","User Authentication","",""
"","2721","Failed login with invalid credentials (example #1)","","Wed Mar 11 01:03:47 UTC 2026","passed","Wed Mar 11 01:03:49 UTC 2026","","User Authentication","",""
"","2944","Failed login with invalid credentials (example #3)","","Wed Mar 11 01:03:53 UTC 2026","passed","Wed Mar 11 01:03:56 UTC 2026","","User Authentication","",""
"","1953","Failed login with malformed email","","Wed Mar 11 01:03:45 UTC 2026","passed","Wed Mar 11 01:03:46 UTC 2026","","User Authentication","",""
