"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5112","Failed login with malformed email","","2026-06-05","failed","2026-06-05","","User Authentication","",""
"","4802","Failed login with invalid credentials (example #2)","","2026-06-05","failed","2026-06-05","","User Authentication","",""
"","5192","Failed login with invalid credentials (example #1)","","2026-06-05","failed","2026-06-05","","User Authentication","",""
"","8821","Successful login with valid credentials","","2026-06-05","failed","2026-06-05","","User Authentication","",""
"","4879","Failed login with invalid credentials (example #3)","","2026-06-05","failed","2026-06-05","","User Authentication","",""
